Year,Coal,Natural Gas,Petroleum Products,Nuclear Electric Power,Oil Price
1970,3.484391919133072,3.561399308894568,10.811867921509098,0.0,3.893165630192066
1971,3.201639133659507,3.592407546917186,10.898008248534024,0.0,3.8582165660923993
1972,3.467185594223262,3.6000565242942213,10.671256630080318,0.0,3.802259427248911
1973,3.504383487518664,3.6173859534967487,10.67493630250705,0.0,3.9711447397467854
1974,3.857614043119239,3.6019670254318608,11.65571617555248,0.0,4.976442753356982
1975,3.8673889154578096,3.7858759496549967,12.569355853777799,0.0,6.125209628000433
1976,4.031061604289235,4.174007977653664,13.157395231298173,0.0,7.023337858040332
1977,4.159269010269972,4.729795336861824,13.522082256221005,0.0,7.773182165485707
1978,4.2520292138720555,5.285998739597886,13.695565619685791,0.0,8.24975011462606
1979,4.38832519986252,5.900379832343712,14.52696472258577,0.0,9.802055470604977
1980,4.313323522265776,6.466970392188021,16.34666899925696,0.0,12.149054858058808
1981,4.178063606453376,6.930738173530196,17.937392553334032,0.0,13.266136993459305
1982,4.325251571648039,7.85332048308398,18.591108363308575,0.0,13.432365328307169
1983,4.431367149264445,8.701587168600659,18.33799938898522,0.0,13.155734567763663
1984,4.290271758731097,9.341113055812276,17.909035118187735,0.0,12.787485643226267
1985,4.1115345123237965,9.817176439846435,17.51075356610758,0.3284923557862383,12.231125878719658
1986,3.9351980329431315,9.841558358071492,16.322074235154684,0.5651629374927524,10.562986999618012
1987,3.8685424496395413,9.634562511562194,15.538174304179165,0.8104878737832675,9.570510497512464
1988,3.736898426561332,9.558820891678549,14.633118414386603,0.9592631912835489,8.506326634066689
1989,3.6336325093691544,9.35623902799191,14.158132005545303,1.088696799115899,7.939225929675321
1990,3.5336972233008628,9.158287618461776,14.037060127756607,1.1116185134146452,7.82166054600001
1991,3.441840164761667,8.981733208602602,13.584123817277929,1.1097784895110103,7.431330917762694
1992,3.352019871256309,8.857605738049628,13.284716576421559,1.0413757942996378,7.020911430481603
1993,3.26626918281146,8.648626238728053,13.133914067942834,0.9953432057598793,6.489389934280242
1994,3.191980667124822,8.436912044926741,12.924055026140268,0.9528094040989061,5.981697239767485
1995,3.1073958837096267,8.226599791841595,12.682285360177344,0.8867143968581324,5.646186532922083
1996,3.0090859949304583,8.013517149526514,12.704015788156646,0.8325185858979177,5.61007091883453
1997,2.920944172264961,7.854261289628901,12.598762576414074,0.7887995934041819,5.43298416719662
1998,2.8521070713515533,7.873237874783744,11.995444906722415,0.7458771237277764,4.845858674778407
1999,2.806566437251598,7.937934080532332,11.709453756549243,0.704885136052513,4.680945700671358
2000,2.6902304756232844,8.204403358665832,12.158499593856293,0.666002191723122,5.188295550583214
2001,2.593718962514552,8.722627808940612,12.25936983201346,0.6391499325569521,5.26234236005599
2002,2.517104275269165,9.336938595676123,12.062824665409314,0.6051062968323523,5.283825737183265
2003,2.432777924868723,9.606273521913005,12.510312528726919,0.5761068851601129,5.551231387013828
2004,2.3653949665254626,9.899033725649435,13.386292790852886,0.5585697392347367,6.265578743049702
2005,2.371880295419284,10.396269342493325,14.812331156430028,0.569749871324624,7.400046162432733
2006,2.360828377234115,11.271109042067263,16.24746117458517,0.5937536376509625,8.600465685019747
2007,2.483432019274861,12.005713810665938,17.482978339588914,0.5917302801435954,9.711556180248392
2008,2.560173408261552,12.478398294665897,19.24049318705036,0.5824279315846742,11.752201645400275
2009,2.5691626465972046,12.6976045304656,18.72615458529782,0.5849242815432616,11.439582265378418
2010,2.4565677370383203,11.423336968501708,13.870591797130258,1.0704961457054187,7.906671864692498
2011,2.4208338894493067,11.59764499885375,13.872622960322136,1.0981105135630738,7.913714541674007
2012,2.3856198353283347,11.771953029205793,13.874654123514015,1.125724881420729,7.920757218655516
2013,2.350918013629851,11.946261059557838,13.876685286705893,1.1533392492783843,7.927799895637025
2014,2.316720973293159,12.120569089909882,13.878716449897773,1.1809536171360395,7.934842572618534
2015,2.28302137164255,12.294877120261924,13.880747613089651,1.2085679849936946,7.941885249600043
2016,2.24981197281071,12.469185150613969,13.88277877628153,1.2361823528513498,7.948927926581551
2017,2.2170856461850574,12.643493180966011,13.884809939473408,1.263796720709005,7.955970603563061
2018,2.184835364876681,12.817801211318056,13.886841102665288,1.29141108856666,7.963013280544569
2019,2.153054204211551,12.992109241670098,13.888872265857167,1.3190254564243153,7.970055957526078
2020,2.121735340243673,13.166417272022143,13.890903429049045,1.3466398242819706,7.977098634507588
2021,2.090872048289876,13.340725302374185,13.892934592240923,1.3742541921396259,7.984141311489096
2022,2.0604577014859093,13.51503333272623,13.894965755432803,1.4018685599972809,7.991183988470605
2023,2.030485769363543,13.689341363078272,13.896996918624682,1.4294829278549361,7.998226665452114
2024,2.0009498164483697,13.863649393430316,13.89902808181656,1.4570972957125914,8.005269342433623
2025,1.971843500877998,14.037957423782359,13.901059245008438,1.4847116635702466,8.012312019415132
2026,1.943160573040351,14.212265454134403,13.903090408200319,1.5123260314279017,8.01935469639664
2027,1.914894874231769,14.386573484486446,13.905121571392197,1.539940399285557,8.026397373378149
2028,1.8870403353346337,14.56088151483849,13.907152734584075,1.5675547671432122,8.033440050359658
2029,1.859590975514226,14.735189545190533,13.909183897775954,1.5951691350008672,8.040482727341168
2030,1.8325409009345426,14.909497575542577,13.911215060967834,1.6227835028585225,8.047525404322677
2031,1.8058843034927894,15.08380560589462,13.913246224159712,1.6503978707161777,8.054568081304184
2032,1.7796154595722862,15.258113636246664,13.91527738735159,1.678012238573833,8.061610758285694
2033,1.7537287288135093,15.432421666598707,13.917308550543469,1.705626606431488,8.068653435267203
