Year,Coal,Natural Gas,Petroleum Products,Nuclear Electric Power,Oil Price
2010,1.517275508321992,6.224779320939204,10.204631605576656,0.8425329374054533,7.906671864692498
2011,1.4757782548225749,6.289243864357311,10.169191160105918,0.8671549980492929,7.913714541674007
2012,1.4354159448706876,6.353708407775418,10.13375071463518,0.8917770586931321,7.920757218655516
2013,1.3961575379335847,6.418172951193524,10.098310269164442,0.9163991193369715,7.927799895637025
2014,1.357972842432353,6.48263749461163,10.062869823693704,0.9410211799808109,7.934842572618534
2015,1.320832492523152,6.5471020380297364,10.027429378222966,0.9656432406246503,7.941885249600043
2016,1.284707925513488,6.6115665814478435,9.991988932752228,0.9902653012684898,7.948927926581551
2017,1.2495713598961444,6.6760311248659505,9.95654848728149,1.0148873619123293,7.955970603563061
2018,1.2153957739838874,6.740495668284057,9.921108041810752,1.0395094225561685,7.963013280544569
2019,1.1821548851285022,6.804960211702163,9.885667596340014,1.0641314832000082,7.970055957526078
2020,1.1498231295081898,6.869424755120269,9.850227150869276,1.0887535438438474,7.977098634507588
2021,1.118375642467775,6.933889298538376,9.81478670539854,1.1133756044876866,7.984141311489096
2022,1.0877882393966054,6.998353841956483,9.7793462599278,1.1379976651315262,7.991183988470605
2023,1.058037397129437,7.062818385374589,9.743905814457062,1.1626197257753654,7.998226665452114
2024,1.0291002358560035,7.127282928792695,9.708465368986325,1.187241786419205,8.005269342433623
2025,1.0009545015253578,7.1917474722108015,9.673024923515587,1.2118638470630443,8.012312019415132
2026,0.9735785487314466,7.2562120156289085,9.637584478044849,1.236485907706884,8.01935469639664
2027,0.9469513240667684,7.3206765590470155,9.60214403257411,1.2611079683507231,8.026397373378149
2028,0.9210523499313024,7.385141102465122,9.566703587103373,1.2857300289945628,8.033440050359658
2029,0.8958617087842616,7.449605645883228,9.531263141632635,1.310352089638402,8.040482727341168
2030,0.8713600278265591,7.514070189301334,9.495822696161897,1.3349741502822412,8.047525404322677
2031,0.8475284641022045,7.578534732719441,9.46038225069116,1.3595962109260809,8.054568081304184
2032,0.8243486900071776,7.642999276137547,9.42494180522042,1.38421827156992,8.061610758285694
2033,0.8018028791946297,7.707463819555654,9.389501359749683,1.4088403322137597,8.068653435267203
2034,0.7798736928655763,7.77192836297376,9.354060914278945,1.433462392857599,8.075696112248712
2035,0.7585442664345385,7.8363929063918665,9.318620468808207,1.4580844535014386,8.082738789230222
2036,0.7377981965598752,7.9008574498099735,9.283180023337469,1.4827065141452778,8.089781466211729
2037,0.7176195285288346,7.96532199322808,9.247739577866732,1.5073285747891174,8.096824143193238
2038,0.6979927439876227,8.029786536646187,9.212299132395993,1.5319506354329566,8.103866820174748
2039,0.678902749007053,8.094251080064293,9.176858686925256,1.5565726960767958,8.110909497156257
2040,0.6603348624745974,8.158715623482399,9.141418241454517,1.5811947567206355,8.117952174137766
2041,0.6422748048039136,8.223180166900505,9.10597779598378,1.6058168173644747,8.124994851119274
2042,0.6247086869531664,8.287644710318613,9.070537350513042,1.6304388780083143,8.132037528100783
2043,0.6076229997436934,8.35210925373672,9.035096905042304,1.6550609386521535,8.139080205082292
2044,0.5910046034708069,8.416573797154825,8.999656459571565,1.6796829992959932,8.146122882063802
2045,0.5748407177987355,8.481038340572931,8.964216014100828,1.7043050599398324,8.153165559045311
2046,0.5591189119319406,8.545502883991038,8.92877556863009,1.728927120583672,8.160208236026818
2047,0.5438270950552431,8.609967427409146,8.893335123159352,1.7535491812275112,8.167250913008328
2048,0.5289535070354134,8.67443197082725,8.857894677688613,1.7781712418713504,8.174293589989837
2049,0.51448670937707,8.738896514245358,8.822454232217876,1.80279330251519,8.181336266971346
2050,0.5004155764259339,8.803361057663464,8.787013786747139,1.8274153631590293,8.188378943952856
